Order ID,Customer Zip Code,Product,Purchase Date,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Customer Name,Customer State,Customer City
1-80013-986-1,82282,Green Tea,9/7/2020,Coca-Cola,Tea,730,7845,2056,5789,Cynthia Case,Ohio,Joycefort
0-471-12728-0,57796,Beer,5/23/2022,Coca-Cola,Alcoholic,101,8171,2484,5687,Dr. Sonya Scott,Kentucky,Katieshire
1-84529-494-7,6075,Lemonade,5/11/2021,Pepsi,Soft Drink,922,5660,1100,4560,Suzanne Alexander,New Hampshire,South Nicholasfort
1-75684-421-6,27817,Coffee,12/5/2022,Dr. Pepper,Coffee,803,1988,1868,120,Nicole Norris,New Mexico,Port Nicholasville
1-79322-814-0,89540,Cola,6/23/2021,Dr. Pepper,Soft Drink,849,2902,5761,-2859,Michael Reid,Washington,North Andrew
1-4890-2574-X,3292,Vodka,4/17/2020,Dr. Pepper,Alcoholic,121,3752,3817,-65,Derrick Collins,North Dakota,Kerrchester
0-11-489606-2,45246,Wine,2/26/2020,Dr. Pepper,Alcoholic,707,6316,6833,-517,Pamela Holt,Kentucky,Michaelburgh
0-901572-00-4,29920,Energy Drink,6/4/2020,Pepsi,Soft Drink,554,8046,1020,7026,Amy Carter,Montana,East Tyler
0-619-60962-1,27274,Black Tea,3/11/2022,Coca-Cola,Tea,406,2167,948,1219,Darrell Gonzalez,Arkansas,Wardside
1-135-00324-6,20005,Cola,11/10/2022,Dr. Pepper,Soft Drink,979,7986,1154,6832,Michael Smith,Hawaii,Burtonland
1-09-614991-5,29336,Lemonade,10/11/2022,Pepsi,Soft Drink,667,1773,1694,79,Dr. Brittany Tran,North Carolina,Port Michaelhaven
1-372-36283-5,57234,Lemonade,7/11/2022,Coca-Cola,Soft Drink,577,1701,6598,-4897,Timothy Kelley,Vermont,New Dawnshire
1-83003-981-4,5046,Cola,5/1/2022,Coca-Cola,Soft Drink,287,3890,5355,-1465,Joseph Scott,West Virginia,West Jamesberg
0-613-06083-0,53802,Coffee,7/16/2023,Pepsi,Coffee,151,6995,6571,424,Laura Scott,Rhode Island,Kristenmouth
1-957811-91-9,73173,Energy Drink,2/10/2023,Coca-Cola,Soft Drink,862,1920,7297,-5377,Amy Mullins,Vermont,Newmanchester
1-55723-785-9,57775,Beer,11/12/2021,Coca-Cola,Alcoholic,876,7088,3448,3640,Kendra Russell,Ohio,Zacharybury
0-06-574432-2,4522,Black Tea,8/5/2022,Coca-Cola,Tea,593,9355,3167,6188,Derrick Johnson,Colorado,North Morgan
1-63677-456-3,97052,Vodka,3/28/2022,Coca-Cola,Alcoholic,259,8025,6550,1475,Jessica Johnson,Arizona,Brownville
1-327-86473-8,4984,Vodka,4/12/2020,Pepsi,Alcoholic,991,5962,7082,-1120,Holly Clark PhD,Wyoming,Lake William
0-486-27830-1,92374,Wine,5/7/2021,Coca-Cola,Alcoholic,557,6754,6907,-153,Rachael Boone,Mississippi,Courtneyton
1-71866-391-9,22705,Black Tea,6/30/2022,Pepsi,Tea,480,7424,2934,4490,Richard Lee,Delaware,West Stephen
0-525-54964-1,1008,Black Tea,7/11/2020,Coca-Cola,Tea,968,2766,3701,-935,Melissa Calhoun,Wyoming,South Carolynland
1-57159-216-4,29262,Vodka,3/25/2023,Coca-Cola,Alcoholic,772,1802,1820,-18,Jerry Gonzalez,Maryland,North Danielmouth
1-74512-599-X,3038,Lemonade,7/3/2022,Dr. Pepper,Soft Drink,538,8898,6167,2731,Mary Hubbard,Virginia,North Christinashire
1-223-47049-0,52097,Green Tea,1/3/2022,Dr. Pepper,Tea,873,6989,2177,4812,Rachel Garcia,Washington,Parkmouth
1-935937-03-0,66515,Energy Drink,5/21/2023,Pepsi,Soft Drink,614,1110,3329,-2219,Stacey Reese,Georgia,Port Marystad
0-8224-3500-4,68040,Herbal Tea,12/27/2020,Pepsi,Tea,871,9779,6692,3087,Jennifer Anderson,West Virginia,South Bryanmouth
0-493-98775-4,81175,Vodka,1/20/2021,Dr. Pepper,Alcoholic,542,3846,1178,2668,Andrea Schneider,New York,Tammybury
0-00-245820-9,34817,Herbal Tea,3/22/2020,Coca-Cola,Tea,379,4466,5887,-1421,Tamara West,Alaska,Port Michaelville
0-12-933844-3,84110,Cola,1/11/2022,Coca-Cola,Soft Drink,475,7292,2937,4355,James Cox,Iowa,Thompsonhaven
1-61932-723-6,29771,Black Tea,4/28/2021,Coca-Cola,Tea,818,9776,3411,6365,Tommy Green,Kansas,Ericborough
0-8173-0350-2,22483,Wine,9/5/2020,Pepsi,Alcoholic,293,8849,937,7912,Michael Bird,Iowa,Tiffanyburgh
1-00-936416-2,8178,Herbal Tea,6/7/2022,Coca-Cola,Tea,350,6065,1143,4922,Chad Le,Rhode Island,New Victoriamouth
0-18-108008-7,35239,Herbal Tea,4/30/2022,Coca-Cola,Tea,859,4143,5689,-1546,Latoya Bruce,Texas,Katieton
0-8070-0411-1,89407,Vodka,6/16/2020,Pepsi,Alcoholic,183,9624,695,8929,Jose Montoya,Florida,Rossfort
0-7374-9116-7,22037,Cola,11/8/2021,Pepsi,Soft Drink,713,7238,5787,1451,Ronald Smith,Alaska,Melissaburgh
1-992588-37-6,61431,Black Tea,2/20/2022,Coca-Cola,Tea,601,2873,5217,-2344,Brenda Decker,West Virginia,Loweberg
0-14-955998-4,84559,Green Tea,7/10/2023,Dr. Pepper,Tea,675,1706,2648,-942,Aaron Flowers,Nebraska,New Jamesfort
1-211-76299-8,83746,Cola,2/9/2021,Dr. Pepper,Soft Drink,842,9626,4868,4758,Peggy Glenn,Vermont,West Kellimouth
0-614-60295-5,20020,Beer,2/2/2021,Dr. Pepper,Alcoholic,439,5598,635,4963,John Ellis,Vermont,New Reneeside
1-4152-5123-1,61299,Green Tea,12/1/2021,Dr. Pepper,Tea,399,4018,905,3113,Brooke Wilcox,New Jersey,Rhondachester
1-57583-679-3,36527,Cola,6/23/2020,Coca-Cola,Soft Drink,513,3973,5419,-1446,Robert Powell,Florida,Hernandezside
0-89557-262-1,81228,Herbal Tea,10/15/2022,Dr. Pepper,Tea,371,5240,4389,851,Jamie Small,California,Port Anthony
1-926748-25-5,68105,Cola,6/27/2023,Dr. Pepper,Soft Drink,604,5174,3521,1653,Aaron Clark,Oregon,Lake Thomasbury
1-221-48974-7,20012,Cola,2/4/2021,Pepsi,Soft Drink,584,1951,1981,-30,Shawn Russell,Oregon,Adrianshire
0-365-21416-7,58294,Lemonade,7/28/2021,Coca-Cola,Soft Drink,765,5702,1552,4150,Jack Gilmore,Maryland,New Gary
1-955432-12-0,78409,Lemonade,6/19/2023,Pepsi,Soft Drink,791,2653,5594,-2941,Andrea Reynolds,Indiana,Danachester
1-79492-288-1,23336,Black Tea,10/9/2021,Dr. Pepper,Tea,778,4385,6965,-2580,Patricia Gonzales,Kentucky,New Matthewfort
0-8447-1841-6,4159,Herbal Tea,1/16/2020,Pepsi,Tea,280,7428,5029,2399,Kathryn Young,Wisconsin,South Michellemouth
0-438-41090-4,84502,Energy Drink,1/21/2020,Pepsi,Soft Drink,511,3770,3482,288,Alexis Schneider,Wyoming,Lake Thomas
0-16-521566-6,25919,Herbal Tea,12/8/2022,Pepsi,Tea,511,4966,1541,3425,Andre Williams,Oklahoma,New Michelleville
1-5097-8928-6,58822,Black Tea,1/1/2021,Pepsi,Tea,145,8283,5184,3099,Jacob Larson,Illinois,East Steveside
1-248-14578-X,87380,Vodka,5/24/2020,Pepsi,Alcoholic,701,7535,539,6996,Randy Williams,South Dakota,Kennethchester
0-570-12320-8,82881,Beer,2/21/2021,Coca-Cola,Alcoholic,691,9531,5310,4221,Dylan Brown,Minnesota,North Paulamouth
1-4340-0900-9,15930,Lemonade,9/25/2020,Dr. Pepper,Soft Drink,748,4255,4031,224,Leonard Patel,Kansas,Waltersfurt
0-208-74160-7,96777,Cola,5/14/2022,Coca-Cola,Soft Drink,463,1053,4244,-3191,James Dominguez,North Carolina,South Robertville
1-85809-607-3,45736,Green Tea,2/11/2021,Pepsi,Tea,124,4548,4296,252,Jeffrey Jackson,Oregon,Flemingbury
0-683-41995-1,64968,Black Tea,12/27/2020,Dr. Pepper,Tea,712,2300,6157,-3857,Michael Chang,West Virginia,East Patriciaville
0-253-31819-X,3604,Coffee,5/8/2021,Dr. Pepper,Coffee,503,6419,4267,2152,Malik Thompson,California,South Carlberg
1-86047-238-9,24076,Cola,12/5/2022,Pepsi,Soft Drink,588,9022,1632,7390,Samuel Williams,Vermont,North Roger
1-56193-442-9,68009,Green Tea,7/21/2023,Coca-Cola,Tea,743,8418,4404,4014,Martin Douglas,West Virginia,Phelpston
1-5346-0938-5,8074,Green Tea,8/16/2022,Pepsi,Tea,427,8927,4321,4606,Donald Chung,Oregon,West Jennifer
1-4742-9818-4,73168,Cola,2/20/2022,Dr. Pepper,Soft Drink,814,8554,1155,7399,John Hebert,Michigan,North Isaac
1-9770-8809-0,46009,Green Tea,7/30/2022,Dr. Pepper,Tea,376,3993,7057,-3064,Daniel Palmer,Arkansas,Angelaside
0-315-44049-X,90448,Lemonade,11/5/2020,Coca-Cola,Soft Drink,533,4828,3169,1659,Robert Hanson,Kansas,Gomezfort
0-261-13028-5,56425,Beer,9/30/2020,Pepsi,Alcoholic,450,8976,3679,5297,Jonathon Cook,South Dakota,Padillahaven
1-55833-978-7,37219,Vodka,1/4/2023,Coca-Cola,Alcoholic,569,4653,1930,2723,Troy Becker,Georgia,Mendozaland
1-04-912342-5,67158,Energy Drink,7/24/2023,Coca-Cola,Soft Drink,360,3875,6694,-2819,Brenda Morris,Alaska,East Olivia
0-213-58016-0,1821,Beer,2/8/2020,Dr. Pepper,Alcoholic,152,7571,5067,2504,Travis Casey,Michigan,Christinemouth
1-224-31820-X,55497,Cola,6/30/2023,Coca-Cola,Soft Drink,191,8965,7812,1153,Justin Reed,New York,Vegachester
0-652-87316-2,44128,Wine,2/22/2023,Dr. Pepper,Alcoholic,586,7865,3738,4127,Andrea Howard,Hawaii,New Joseph
0-389-08508-1,99576,Coffee,3/9/2020,Pepsi,Coffee,659,8386,1840,6546,Austin Maddox,Iowa,Jenkinston
0-11-254507-6,20028,Black Tea,5/20/2022,Coca-Cola,Tea,169,1360,6232,-4872,Nicholas Cohen,Wyoming,Rebeccaton
0-501-26594-5,55491,Herbal Tea,2/24/2022,Pepsi,Tea,445,8745,1950,6795,Stephanie Lewis,Wyoming,South Loretta
1-63157-117-6,21229,Vodka,9/30/2020,Coca-Cola,Alcoholic,422,4849,4094,755,Andrew Cruz,New Hampshire,West Meganview
0-478-59521-2,78795,Energy Drink,4/19/2021,Coca-Cola,Soft Drink,282,9990,2297,7693,Daniel Hansen,Alaska,Port Angela
0-12-714479-X,3800,Vodka,3/9/2021,Coca-Cola,Alcoholic,687,5833,1586,4247,Renee Torres,Maryland,Jayfort
1-4578-5914-9,32172,Black Tea,5/13/2023,Pepsi,Tea,523,5401,3284,2117,Brandon Jacobs,Maine,Smithland
0-938811-73-8,83026,Vodka,9/28/2020,Coca-Cola,Alcoholic,122,7454,629,6825,Kari Day,New Jersey,Davidhaven
0-666-77303-3,41927,Cola,8/30/2022,Coca-Cola,Soft Drink,122,6632,2036,4596,Nicole Ramirez,North Carolina,Kevinfort
1-72026-963-7,21707,Vodka,6/24/2020,Coca-Cola,Alcoholic,489,7786,7462,324,Regina Wilkins,California,East Katrina
0-651-09026-1,20022,Beer,7/7/2022,Coca-Cola,Alcoholic,716,3069,4989,-1920,Michelle Taylor,Minnesota,Port Dorothyfurt
1-117-03366-X,98469,Energy Drink,5/29/2022,Dr. Pepper,Soft Drink,887,7992,1128,6864,Theresa Lara,Maine,Patrickmouth
1-322-54128-0,58410,Vodka,1/14/2022,Pepsi,Alcoholic,679,8058,2138,5920,Kelly Hart,North Carolina,Reyesborough
0-353-75679-2,51715,Vodka,12/9/2022,Pepsi,Alcoholic,536,2899,897,2002,John Brock,Maine,Robertport
0-19-415578-1,20024,Lemonade,4/1/2022,Coca-Cola,Soft Drink,905,2332,1685,647,Darryl Harris,Virginia,Garystad
1-02-337097-2,3569,Coffee,5/26/2020,Dr. Pepper,Coffee,517,9156,2441,6715,John Harrison,New Jersey,South Michaelstad
0-352-76326-4,49069,Energy Drink,5/15/2020,Pepsi,Soft Drink,260,9012,7024,1988,John Brown,Texas,Andrewborough
1-933809-11-6,30820,Lemonade,3/6/2021,Dr. Pepper,Soft Drink,364,6872,7899,-1027,Juan Sanchez,Ohio,South Janet
1-84835-265-4,57537,Lemonade,9/2/2022,Pepsi,Soft Drink,165,2033,7233,-5200,Andrew Barton,Massachusetts,Smithland
0-311-98569-6,3367,Cola,6/4/2020,Dr. Pepper,Soft Drink,537,3845,6340,-2495,Larry Robinson,Alabama,South Robertberg
0-7365-2956-X,72518,Energy Drink,9/1/2021,Coca-Cola,Soft Drink,901,4458,4777,-319,Kayla Atkins,Tennessee,East Daniel
1-303-08002-8,30511,Beer,1/29/2023,Dr. Pepper,Alcoholic,758,6359,2875,3484,Carrie Joyce,Rhode Island,South Jasonbury
0-911437-66-5,27826,Beer,12/15/2021,Coca-Cola,Alcoholic,103,1358,3268,-1910,Anthony Gonzalez,Kansas,Tammytown
1-935286-10-2,7205,Beer,3/19/2020,Coca-Cola,Alcoholic,642,7707,4706,3001,Peter Franklin,Louisiana,Port Colin
1-83884-097-4,29085,Lemonade,5/22/2023,Pepsi,Soft Drink,224,9894,992,8902,Jessica Lowery,Wisconsin,Shawntown
0-493-66372-X,1339,Green Tea,8/12/2022,Pepsi,Tea,609,3677,5546,-1869,Roberta Osborne,Ohio,Jennaview
1-5307-3339-1,26817,Wine,12/16/2021,Coca-Cola,Alcoholic,618,7373,5157,2216,William Rowland,Texas,East Alexanderburgh
0-562-99446-7,58591,Cola,6/27/2023,Coca-Cola,Soft Drink,449,2695,7595,-4900,Jasmine Choi,Oklahoma,East Erik
1-03-925284-2,6209,Energy Drink,11/15/2020,Dr. Pepper,Soft Drink,820,6811,595,6216,Sarah Charles,Connecticut,Rebeccaton
1-301-01996-8,68106,Wine,5/3/2023,Coca-Cola,Alcoholic,403,4952,4783,169,Allen Kim,Oklahoma,Powellport
1-60048-106-X,27716,Energy Drink,5/21/2022,Coca-Cola,Soft Drink,129,6116,6765,-649,Lawrence Johnson,Illinois,Yvonneside
1-78877-774-3,59381,Cola,11/12/2021,Coca-Cola,Soft Drink,232,7005,6924,81,William Leach,Arkansas,Port Debra
1-7369465-8-7,3474,Herbal Tea,5/22/2022,Coca-Cola,Tea,890,8004,3271,4733,Bill Miller,Louisiana,Brownbury
0-7883-0979-X,85655,Black Tea,8/23/2020,Coca-Cola,Tea,610,1216,4312,-3096,John Meza,Montana,South Samanthaview
1-5329-5965-6,82988,Cola,4/14/2021,Pepsi,Soft Drink,434,2929,5536,-2607,Debra Barr,Georgia,Bentleybury
0-699-30084-3,82274,Green Tea,9/14/2022,Coca-Cola,Tea,643,4901,6533,-1632,Debra Rogers,New Mexico,Port Dawnbury
0-660-76142-4,72131,Wine,6/23/2021,Pepsi,Alcoholic,242,6664,7166,-502,Kerry Lowe,New Mexico,South Trevorview
1-59437-729-4,2907,Green Tea,7/20/2023,Pepsi,Tea,974,3883,1193,2690,Andrea Ferguson,Rhode Island,New Michaelberg
0-7908-5948-3,4340,Cola,1/2/2023,Dr. Pepper,Soft Drink,571,8744,2249,6495,Susan Jimenez,South Carolina,West Jill
0-550-00053-4,40497,Wine,12/19/2021,Pepsi,Alcoholic,756,5493,2756,2737,Chase Hull,Illinois,Lake Brenda
0-9683300-0-2,88996,Cola,4/3/2023,Coca-Cola,Soft Drink,792,5346,2432,2914,Laura Smith,Nebraska,Mullenside
1-4778-0956-2,99603,Green Tea,5/22/2022,Coca-Cola,Tea,368,9498,6817,2681,Michelle Cook,California,New Andrewstad
0-19-603044-7,99621,Lemonade,5/9/2021,Dr. Pepper,Soft Drink,789,2748,3640,-892,Matthew Rios,Alaska,Tracytown
1-82275-018-0,99752,Green Tea,8/14/2021,Pepsi,Tea,753,1547,1774,-227,Valerie Woodward,South Dakota,North Jeffrey
0-462-74452-3,78591,Wine,10/24/2022,Coca-Cola,Alcoholic,863,8971,572,8399,Diana Torres,New Jersey,Josephborough
0-335-14229-X,77811,Green Tea,1/5/2022,Pepsi,Tea,584,8983,2501,6482,Chris Villarreal,Georgia,West Michaelton
1-179-20048-9,84707,Black Tea,11/22/2022,Dr. Pepper,Tea,685,4270,5050,-780,Ruben Gonzalez,Wyoming,Yuborough
0-272-27531-X,64052,Herbal Tea,4/28/2021,Dr. Pepper,Tea,864,9166,3825,5341,Nicole Horton,Mississippi,South Deanland
1-102-45844-9,54776,Beer,1/3/2021,Dr. Pepper,Alcoholic,147,3610,7509,-3899,Benjamin Horton,Wisconsin,West Mary
1-942134-63-0,70497,Wine,11/10/2021,Pepsi,Alcoholic,358,1998,5489,-3491,Jonathan Wright,New Mexico,South Alexander
1-75905-436-4,23881,Black Tea,2/28/2023,Dr. Pepper,Tea,334,1343,4830,-3487,Timothy Bruce,New Jersey,Krystalview
0-8497-5821-1,82189,Beer,1/18/2022,Coca-Cola,Alcoholic,606,3153,683,2470,Cynthia Rodriguez,Virginia,East Donald
0-617-70133-4,58836,Wine,3/13/2022,Dr. Pepper,Alcoholic,927,6548,1694,4854,Latoya Brown,Georgia,Lake April
0-7154-6060-9,38947,Cola,8/8/2021,Pepsi,Soft Drink,616,6486,1846,4640,Ashley Ballard,Florida,South Shelbyside
0-297-98093-9,17405,Black Tea,10/14/2020,Pepsi,Tea,979,9707,7569,2138,Crystal Hunt,Kansas,Rodriguezmouth
0-7089-4658-5,24731,Green Tea,12/5/2020,Pepsi,Tea,918,1685,6869,-5184,Paula Castillo DDS,Ohio,West Richardburgh
1-180-04297-2,98619,Energy Drink,12/21/2022,Dr. Pepper,Soft Drink,277,5683,1635,4048,Daniel Scott,Arkansas,West Robert
1-55738-959-4,19783,Cola,3/27/2021,Dr. Pepper,Soft Drink,958,1759,4410,-2651,Preston Joyce,Alaska,West Hailey
0-07-109957-3,35215,Herbal Tea,1/12/2023,Coca-Cola,Tea,772,1116,607,509,Brandon Montoya,Tennessee,Port Gary
1-7322315-4-0,48153,Coffee,8/21/2022,Pepsi,Coffee,600,3114,3819,-705,Dana Schwartz,Massachusetts,Lake Matthew
1-130-01732-X,58412,Coffee,3/21/2020,Dr. Pepper,Coffee,347,9009,4117,4892,Nichole Brown,New Mexico,East Gloriashire
1-57887-495-5,83830,Cola,1/15/2021,Coca-Cola,Soft Drink,219,3086,5266,-2180,Justin James,North Carolina,Kathyborough
0-491-34114-8,73103,Vodka,2/21/2020,Pepsi,Alcoholic,864,5862,4919,943,Renee Mitchell,New Mexico,North Deanna
1-199-03400-2,56260,Green Tea,11/30/2020,Coca-Cola,Tea,200,2606,7436,-4830,Elizabeth Mccarty,Michigan,Michaelshire
1-5362-7396-1,24281,Cola,7/29/2020,Coca-Cola,Soft Drink,104,6275,1036,5239,Ruben Shea,Alabama,South Lindseyberg
1-05-347139-4,30252,Wine,12/15/2021,Coca-Cola,Alcoholic,979,3059,4086,-1027,Tina Rowland,Michigan,East Robert
1-83568-390-8,25378,Herbal Tea,3/2/2023,Dr. Pepper,Tea,313,5311,1172,4139,Darren Cruz,Oklahoma,Greeneland
0-13-789625-5,89852,Black Tea,6/8/2022,Coca-Cola,Tea,659,4874,870,4004,Dennis Wilson,New Mexico,Osbornmouth
1-4345-8044-X,7743,Wine,2/19/2023,Dr. Pepper,Alcoholic,336,3439,4218,-779,Kenneth Erickson,Tennessee,Port Kayla
0-7140-1514-8,71872,Beer,9/17/2020,Pepsi,Alcoholic,162,6040,712,5328,Blake Lang,Wyoming,Larsonfurt
0-9653941-6-6,38173,Herbal Tea,6/23/2022,Coca-Cola,Tea,394,2061,2694,-633,Joseph Jackson Jr.,North Dakota,Susanbury
0-358-83533-X,80967,Green Tea,8/14/2021,Coca-Cola,Tea,989,4285,6118,-1833,Brenda Jimenez,Massachusetts,Martinezchester
1-66166-586-1,19914,Beer,5/15/2023,Dr. Pepper,Alcoholic,593,2290,1054,1236,Denise Singleton,Utah,Port Douglas
0-662-94559-X,48707,Cola,2/3/2020,Coca-Cola,Soft Drink,960,2869,4623,-1754,Sheila Hill,Michigan,Port Phyllisshire
0-628-93935-3,63775,Herbal Tea,4/8/2023,Dr. Pepper,Tea,328,4235,6854,-2619,Lori Long,Tennessee,Morahaven
1-348-98632-8,7611,Coffee,1/1/2023,Dr. Pepper,Coffee,844,9125,3488,5637,Lauren Hester,Kentucky,New Colleenborough
1-4565-6839-6,83321,Cola,11/13/2021,Coca-Cola,Soft Drink,621,6243,7323,-1080,Crystal Hooper,Kentucky,New Mariachester
0-89649-176-5,22768,Green Tea,4/24/2023,Coca-Cola,Tea,657,8073,568,7505,Colleen Smith,Vermont,East Brandon
1-5316-9179-X,67038,Beer,10/23/2021,Dr. Pepper,Alcoholic,823,4458,1435,3023,Jose Davis,South Dakota,Andrewmouth
1-926038-62-2,44113,Coffee,4/23/2021,Pepsi,Coffee,978,4970,711,4259,Linda Thompson,Hawaii,Lisachester
0-511-77452-4,5162,Cola,9/23/2020,Dr. Pepper,Soft Drink,660,4456,2234,2222,Kelly Brown,Montana,Harrismouth
1-100-29465-1,5167,Black Tea,10/22/2021,Pepsi,Tea,289,8611,4918,3693,Mary Martinez,Alaska,Port Annaberg
1-878819-91-7,34022,Coffee,4/7/2022,Pepsi,Coffee,713,3640,7662,-4022,Shawn Burnett,Minnesota,South Heather
1-945624-68-X,33331,Beer,3/4/2023,Dr. Pepper,Alcoholic,973,3339,6818,-3479,Amanda Stephens,Nevada,Williamville
1-68923-444-X,2808,Coffee,2/10/2022,Pepsi,Coffee,581,3852,3109,743,Sheri Sweeney,Virginia,East Sandyshire
1-163-74000-4,96841,Green Tea,9/19/2022,Coca-Cola,Tea,509,8021,6994,1027,Antonio Sanchez,Kansas,South Joseph
0-308-85719-4,38217,Beer,4/27/2020,Dr. Pepper,Alcoholic,737,4795,3123,1672,James Campbell,Colorado,Robertburgh
0-457-65179-2,36364,Vodka,3/8/2023,Pepsi,Alcoholic,643,7016,3504,3512,Crystal Charles,Wisconsin,New Kevin
0-547-79614-5,34760,Beer,12/18/2021,Dr. Pepper,Alcoholic,155,4474,1563,2911,Benjamin Sawyer,Montana,East Johnburgh
0-7788-1449-1,47447,Green Tea,8/5/2022,Pepsi,Tea,492,8307,6832,1475,Curtis Pena DDS,New Hampshire,Skinnerburgh
0-11-523113-7,82261,Green Tea,12/7/2021,Coca-Cola,Tea,271,8502,5868,2634,Eric Herrera,Missouri,North Tylerfurt
0-640-61043-9,38459,Cola,7/23/2022,Dr. Pepper,Soft Drink,596,1553,2179,-626,Adrian Jordan,Massachusetts,Christianfurt
1-249-27334-X,37720,Beer,5/14/2020,Coca-Cola,Alcoholic,293,7851,6920,931,James Clark,New York,East Brian
1-902861-09-4,46568,Beer,10/22/2021,Pepsi,Alcoholic,166,8811,5904,2907,Scott Moore,Maryland,New Patriciatown
1-02-697704-5,96808,Beer,2/25/2020,Pepsi,Alcoholic,278,5971,3628,2343,Matthew Welch,Georgia,Port James
1-296-66843-6,67860,Energy Drink,12/8/2021,Coca-Cola,Soft Drink,950,9563,4409,5154,Susan Shannon,Massachusetts,Bellview
1-292-14869-1,76268,Coffee,2/16/2023,Coca-Cola,Coffee,957,5134,5234,-100,Kim Greer,North Carolina,South Patrick
0-7899-4217-8,21140,Wine,5/13/2020,Coca-Cola,Alcoholic,375,8148,6199,1949,Bonnie Russell,Hawaii,South Jerryland
1-4137-6182-8,71167,Green Tea,12/9/2022,Dr. Pepper,Tea,645,7170,1184,5986,Bradley Gardner,Minnesota,East Lee
0-09-810714-3,45073,Vodka,8/5/2020,Coca-Cola,Alcoholic,258,9381,5261,4120,Mary Carter,Michigan,Vanessaborough
1-04-552673-8,44583,Black Tea,6/28/2021,Dr. Pepper,Tea,781,1103,4363,-3260,Lisa Rivera,Oregon,Singhfurt
1-4134-4402-4,83816,Black Tea,4/28/2022,Dr. Pepper,Tea,493,7174,3495,3679,Michael Garcia,West Virginia,Tabithachester
0-576-60015-6,28303,Lemonade,11/3/2022,Dr. Pepper,Soft Drink,347,4125,3222,903,Russell Cordova,Kansas,Robertsburgh
0-499-60099-1,33017,Beer,6/15/2020,Pepsi,Alcoholic,931,7756,2827,4929,Lauren Valenzuela,Connecticut,New Edward
0-7925-7975-5,34396,Green Tea,1/6/2021,Pepsi,Tea,962,2082,6163,-4081,Jessica Robinson,Alabama,Alexanderburgh
0-13-486408-5,20019,Energy Drink,1/17/2020,Pepsi,Soft Drink,768,6082,1970,4112,Ellen Flores,Maine,Lake Sonya
1-128-66022-9,38326,Cola,7/31/2021,Coca-Cola,Soft Drink,641,8359,2409,5950,Kyle Woods,New Mexico,South Brandon
0-7421-1563-1,93758,Black Tea,11/26/2022,Coca-Cola,Tea,637,1378,1177,201,Matthew Jenkins,Colorado,Danielberg
0-7416-7320-7,73060,Vodka,1/13/2022,Pepsi,Alcoholic,879,2533,1629,904,Laura Soto,Massachusetts,New Melissa
1-59001-793-5,53129,Coffee,6/7/2022,Pepsi,Coffee,458,6571,5446,1125,Michael Schmidt,Maine,North Kristaton
0-322-71308-0,8370,Black Tea,5/2/2021,Dr. Pepper,Tea,186,3143,4828,-1685,Kendra Miller,South Carolina,Morrishaven
0-7350-8934-5,7455,Wine,1/9/2023,Pepsi,Alcoholic,159,8167,4133,4034,Megan Palmer,Texas,Summermouth
1-5447-3590-1,45245,Wine,10/7/2020,Dr. Pepper,Alcoholic,307,5274,1134,4140,Kayla Mccann,Montana,New Patricia
1-5474-3025-7,73055,Coffee,10/15/2021,Dr. Pepper,Coffee,989,8426,7238,1188,Kaitlin Hart,West Virginia,Hillborough
1-292-84935-5,28361,Coffee,11/29/2022,Coca-Cola,Coffee,807,4849,6247,-1398,Donna Wagner,Mississippi,Lake Franciscoton
1-340-07188-6,29520,Black Tea,12/7/2020,Dr. Pepper,Tea,911,8006,7099,907,Cassandra Robertson,Iowa,Bradleyland
0-233-03199-5,81403,Cola,1/13/2022,Pepsi,Soft Drink,811,9279,5935,3344,Phillip Thomas,Wisconsin,West Christinashire
1-944069-99-2,19848,Lemonade,8/22/2021,Pepsi,Soft Drink,120,9302,4490,4812,Angela Rodriguez,Montana,North Steve
1-62349-607-1,4605,Energy Drink,6/5/2020,Dr. Pepper,Soft Drink,677,9139,1404,7735,Susan Wilkins,Alabama,Justinberg
1-890553-51-4,72452,Lemonade,9/23/2021,Dr. Pepper,Soft Drink,344,2894,7078,-4184,Kevin Fernandez,Virginia,Port Anita
1-332-22797-X,87477,Cola,2/1/2020,Dr. Pepper,Soft Drink,534,9319,6159,3160,John Richards,Montana,New Allenhaven
0-7783-4984-5,99820,Cola,11/29/2020,Pepsi,Soft Drink,151,9372,6314,3058,David Green,Idaho,Reneeland
0-7122-8182-7,98016,Cola,2/16/2022,Coca-Cola,Soft Drink,130,4970,5251,-281,Andrea Walsh,Rhode Island,West James
1-67208-437-7,4335,Vodka,3/31/2022,Coca-Cola,Alcoholic,636,8588,505,8083,Carla Baird,Illinois,Muellerburgh
0-231-16668-0,55011,Black Tea,8/16/2021,Coca-Cola,Tea,357,8993,1296,7697,Carla Jones,Indiana,West Coryton
1-226-02201-4,4867,Energy Drink,5/18/2022,Dr. Pepper,Soft Drink,578,1346,3942,-2596,Amber Scott,Wyoming,Nguyenside
0-698-70267-0,5389,Energy Drink,3/20/2020,Coca-Cola,Soft Drink,125,9106,4307,4799,Keith Clark,Kentucky,Martineztown
1-344-68718-0,29089,Lemonade,5/14/2020,Coca-Cola,Soft Drink,543,3906,5445,-1539,Deanna Wilson,South Carolina,Lake Williammouth
